epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,501.354,0.63279,0.74912,1.17827,0.58899,0.47878,0.54095,0.36805,1.20294,2.06107,1.51653,0.000735204,0.000735204,0.000735204
43,511.281,0.59689,0.68254,1.13884,0.51203,0.4339,0.42931,0.30631,1.44354,2.29315,1.74382,0.000726038,0.000726038,0.000726038
44,521.451,0.6068,0.62997,1.18123,0.66308,0.47975,0.5322,0.38707,1.27953,1.99493,1.53387,0.000716873,0.000716873,0.000716873
45,532.567,0.6424,0.68678,1.15412,0.52852,0.45318,0.49039,0.32369,1.44003,2.38217,1.67082,0.000707707,0.000707707,0.000707707
46,541.709,0.64739,0.74874,1.18538,0.61165,0.66562,0.66973,0.43152,1.24487,1.51158,1.55842,0.000698541,0.000698541,0.000698541
47,553.096,0.62418,0.64858,1.18051,0.66855,0.6591,0.67834,0.4557,1.18215,1.55192,1.48683,0.000689376,0.000689376,0.000689376
48,562.208,0.67279,0.78955,1.20366,0.62384,0.54068,0.5912,0.41902,1.13515,1.674,1.43648,0.00068021,0.00068021,0.00068021
49,574.109,0.58027,0.63229,1.12546,0.72133,0.50307,0.62721,0.43339,1.17723,1.52978,1.44651,0.000671044,0.000671044,0.000671044
50,583.9,0.55201,0.60729,1.11975,0.64554,0.54054,0.58446,0.38586,1.29667,1.71316,1.61696,0.000661878,0.000661878,0.000661878
51,594.059,0.64684,0.66395,1.14804,0.80581,0.54309,0.63363,0.41986,1.36822,1.52281,1.65809,0.000652712,0.000652712,0.000652712
52,604.401,0.61582,0.66034,1.12976,0.73279,0.60323,0.67099,0.45179,1.28941,1.53651,1.65884,0.000643547,0.000643547,0.000643547
53,614.086,0.60725,0.6868,1.16333,0.72948,0.46077,0.59284,0.39803,1.28944,1.79284,1.59279,0.000634381,0.000634381,0.000634381
54,626.263,0.60203,0.64253,1.15905,0.71874,0.56316,0.64878,0.44807,1.21663,1.57306,1.51397,0.000625215,0.000625215,0.000625215
55,634.615,0.59252,0.65166,1.14019,0.58289,0.53251,0.60342,0.42321,1.20509,1.97426,1.50005,0.000616049,0.000616049,0.000616049
56,646.462,0.57428,0.60154,1.10451,0.64507,0.49786,0.60576,0.44418,1.09312,1.97573,1.38737,0.000606884,0.000606884,0.000606884
57,654.774,0.64626,0.68436,1.19022,0.66788,0.41887,0.54416,0.35683,1.457,2.14594,1.66972,0.000597718,0.000597718,0.000597718
58,666.855,0.67648,0.75431,1.18624,0.57822,0.51701,0.54484,0.3729,1.3165,2.0688,1.57933,0.000588552,0.000588552,0.000588552
59,675.78,0.58332,0.81864,1.15786,0.67226,0.567,0.64063,0.4246,1.25968,1.58057,1.52852,0.000579386,0.000579386,0.000579386
60,686.897,0.57093,0.59383,1.11045,0.7376,0.51973,0.63581,0.39397,1.34946,1.76194,1.57485,0.000570221,0.000570221,0.000570221
61,697.361,0.55941,0.56592,1.09049,0.66799,0.5045,0.59348,0.37661,1.34032,1.856,1.57786,0.000561055,0.000561055,0.000561055
62,707.478,0.61173,0.63408,1.15568,0.57529,0.59452,0.57571,0.37253,1.4598,1.78079,1.7217,0.000551889,0.000551889,0.000551889
63,719.321,0.58112,0.59117,1.12879,0.71779,0.57958,0.63666,0.42687,1.34087,1.49749,1.6267,0.000542723,0.000542723,0.000542723
64,727.772,0.59998,0.56959,1.16283,0.68722,0.63322,0.64648,0.40122,1.32352,1.42784,1.61956,0.000533558,0.000533558,0.000533558
65,739.604,0.59087,0.64442,1.15906,0.6608,0.62818,0.6585,0.42374,1.33867,1.43422,1.63663,0.000524392,0.000524392,0.000524392
66,748.346,0.55958,0.63563,1.1175,0.59072,0.62182,0.67123,0.46202,1.21419,1.41407,1.48661,0.000515226,0.000515226,0.000515226
67,759.873,0.55764,0.61708,1.10576,0.60687,0.64561,0.66717,0.47783,1.14187,1.3052,1.40304,0.00050606,0.00050606,0.00050606
68,769.21,0.53992,0.53299,1.11134,0.60715,0.66447,0.69064,0.47403,1.2329,1.35864,1.48961,0.000496895,0.000496895,0.000496895
69,779.699,0.53537,0.56883,1.11607,0.56291,0.56447,0.56148,0.36207,1.42973,1.6573,1.70103,0.000487729,0.000487729,0.000487729
70,790.897,0.50566,0.5523,1.0772,0.63211,0.56568,0.60759,0.39876,1.41228,1.71959,1.62015,0.000478563,0.000478563,0.000478563
71,800.276,0.54034,0.60295,1.09528,0.55395,0.58586,0.59824,0.39164,1.44289,2.02551,1.68073,0.000469397,0.000469397,0.000469397
72,812.159,0.5305,0.58823,1.11195,0.59427,0.56952,0.63776,0.44395,1.24304,1.8449,1.54341,0.000460232,0.000460232,0.000460232
73,820.628,0.50144,0.50336,1.08677,0.56992,0.50537,0.57423,0.38482,1.40387,2.08022,1.68573,0.000451066,0.000451066,0.000451066
74,832.138,0.55662,0.57475,1.13486,0.51142,0.46195,0.48031,0.29222,1.64573,2.36143,1.9013,0.0004419,0.0004419,0.0004419
75,841.363,0.55716,0.5058,1.08956,0.62296,0.45329,0.52608,0.35238,1.3142,2.47638,1.56647,0.000432734,0.000432734,0.000432734
76,852.251,0.51473,0.48742,1.09484,0.58661,0.52935,0.62044,0.41051,1.33634,2.07374,1.56895,0.000423569,0.000423569,0.000423569
77,862.546,0.5619,0.59059,1.12316,0.58494,0.62333,0.66207,0.45808,1.1925,1.74192,1.50548,0.000414403,0.000414403,0.000414403
78,872.822,0.52318,0.54521,1.08485,0.66043,0.55811,0.64145,0.37968,1.49056,1.81234,1.77202,0.000405237,0.000405237,0.000405237
79,883.669,0.47535,0.48642,1.07403,0.67452,0.6432,0.69735,0.44346,1.31317,1.59349,1.5947,0.000396071,0.000396071,0.000396071
80,892.689,0.54301,0.53801,1.08461,0.73957,0.57704,0.6451,0.41598,1.37532,1.7824,1.64575,0.000386906,0.000386906,0.000386906
81,903.909,0.51037,0.48791,1.08157,0.71422,0.57621,0.66063,0.44183,1.21597,1.65987,1.53584,0.00037774,0.00037774,0.00037774
82,912.592,0.50796,0.46919,1.07492,0.84366,0.54144,0.65656,0.44771,1.27422,1.66957,1.5726,0.000368574,0.000368574,0.000368574
83,924.733,0.49326,0.47087,1.06338,0.77038,0.60954,0.69578,0.48245,1.27864,1.57193,1.58166,0.000359409,0.000359409,0.000359409
84,934.909,0.48914,0.55307,1.05918,0.76441,0.4818,0.61959,0.39158,1.45573,1.86179,1.76009,0.000350243,0.000350243,0.000350243
85,945.048,0.52,0.48315,1.09241,0.66244,0.6341,0.68966,0.45802,1.33084,1.474,1.63158,0.000341077,0.000341077,0.000341077
86,955.499,0.47934,0.45724,1.05397,0.6865,0.64704,0.6784,0.4516,1.26918,1.41973,1.53635,0.000331911,0.000331911,0.000331911
87,965.168,0.49004,0.46691,1.07451,0.60642,0.61195,0.62277,0.39796,1.34333,1.5548,1.60483,0.000322745,0.000322745,0.000322745
88,976.75,0.49588,0.44152,1.06934,0.71439,0.50428,0.57197,0.37139,1.33665,1.59575,1.65432,0.00031358,0.00031358,0.00031358
89,985.705,0.48991,0.4725,1.08836,0.66044,0.54561,0.56581,0.38395,1.31396,1.58474,1.63539,0.000304414,0.000304414,0.000304414
90,997.239,0.46598,0.46578,1.05421,0.70847,0.47928,0.56852,0.38174,1.35903,1.68927,1.69562,0.000295248,0.000295248,0.000295248
91,1006.19,0.51244,0.47787,1.08042,0.70105,0.52404,0.66241,0.46202,1.28432,1.55954,1.58439,0.000286083,0.000286083,0.000286083
92,1017.02,0.44658,0.44966,1.05229,0.66298,0.70109,0.72202,0.51159,1.17817,1.37605,1.47454,0.000276917,0.000276917,0.000276917
93,1027.26,0.46614,0.46857,1.08653,0.67115,0.66278,0.73382,0.50127,1.19288,1.34676,1.45862,0.000267751,0.000267751,0.000267751
94,1037.14,0.48056,0.53717,1.05813,0.66427,0.75996,0.76435,0.54294,1.07444,1.18414,1.37102,0.000258585,0.000258585,0.000258585
95,1049.03,0.43972,0.47263,1.05224,0.68546,0.65344,0.73552,0.51461,1.10054,1.26763,1.38473,0.00024942,0.00024942,0.00024942
96,1057.78,0.44697,0.44808,1.06005,0.77154,0.59265,0.73531,0.53087,1.09783,1.19509,1.40635,0.000240254,0.000240254,0.000240254
97,1068.86,0.42842,0.40976,1.059,0.80452,0.61893,0.75191,0.54342,1.12346,1.16051,1.40877,0.000231088,0.000231088,0.000231088
98,1078.2,0.44518,0.43993,1.03777,0.83835,0.66075,0.78841,0.5749,1.01384,1.0705,1.29496,0.000221922,0.000221922,0.000221922
99,1089.58,0.44321,0.43464,1.04888,0.7534,0.69825,0.77464,0.56362,1.00134,1.12037,1.31245,0.000212757,0.000212757,0.000212757
100,1098.31,0.43169,0.42213,1.03329,0.73622,0.68505,0.75377,0.51357,1.12363,1.31076,1.42905,0.000203591,0.000203591,0.000203591
101,1109.51,0.44553,0.42613,1.04999,0.72883,0.63681,0.71617,0.47373,1.23245,1.40699,1.51434,0.000194425,0.000194425,0.000194425
102,1121.02,0.45405,0.48142,1.06782,0.71129,0.64825,0.71347,0.49618,1.19061,1.30864,1.47193,0.000185259,0.000185259,0.000185259
103,1129.94,0.42634,0.4429,1.0631,0.72346,0.62488,0.71782,0.50165,1.16887,1.2398,1.47351,0.000176094,0.000176094,0.000176094
104,1140.79,0.41785,0.42884,1.0299,0.71324,0.6177,0.71945,0.49342,1.19678,1.32885,1.49903,0.000166928,0.000166928,0.000166928
105,1148.99,0.42899,0.42927,1.05188,0.67022,0.61859,0.69788,0.48753,1.20745,1.50192,1.51119,0.000157762,0.000157762,0.000157762
106,1160.7,0.44463,0.43972,1.06463,0.6659,0.57274,0.68669,0.48059,1.2461,1.57578,1.53922,0.000148596,0.000148596,0.000148596
107,1169.59,0.41826,0.42012,1.02401,0.72459,0.56195,0.69503,0.49623,1.18686,1.54006,1.47473,0.000139431,0.000139431,0.000139431
108,1180.44,0.41955,0.39759,1.03121,0.74356,0.60038,0.71717,0.50348,1.20624,1.4789,1.48459,0.000130265,0.000130265,0.000130265
109,1191.72,0.40469,0.41363,1.02118,0.74668,0.6295,0.72894,0.50865,1.16177,1.40025,1.42919,0.000121099,0.000121099,0.000121099
110,1200.39,0.41168,0.39872,1.03133,0.8078,0.59242,0.72749,0.51438,1.14376,1.36382,1.4218,0.000111933,0.000111933,0.000111933
111,1215.99,0.30826,0.35093,0.97501,0.76327,0.59068,0.71716,0.50429,1.22053,1.3836,1.48848,0.000102768,0.000102768,0.000102768
112,1226.08,0.42977,0.4251,1.19696,0.74114,0.65451,0.72083,0.50316,1.22625,1.36116,1.51967,9.36017e-05,9.36017e-05,9.36017e-05
113,1236.12,0.3378,0.37689,0.96992,0.73054,0.66144,0.72844,0.53165,1.08769,1.26602,1.40207,8.4436e-05,8.4436e-05,8.4436e-05
114,1246.58,0.26476,0.37616,0.94796,0.77632,0.63319,0.73058,0.53533,1.07452,1.27231,1.38246,7.52703e-05,7.52703e-05,7.52703e-05
115,1255.49,0.32483,0.33515,0.99914,0.775,0.64055,0.73319,0.53784,1.08737,1.29354,1.38714,6.61045e-05,6.61045e-05,6.61045e-05
116,1267.28,0.50559,0.72111,1.54306,0.76433,0.62586,0.73573,0.5439,1.04877,1.27323,1.36547,5.69387e-05,5.69387e-05,5.69387e-05
117,1275.45,0.29697,0.29372,0.99316,0.76893,0.63143,0.74218,0.55473,1.04632,1.23566,1.35861,4.7773e-05,4.7773e-05,4.7773e-05
118,1287.06,0.26806,0.28946,0.92487,0.78856,0.62697,0.75059,0.55954,1.05379,1.1961,1.3606,3.86073e-05,3.86073e-05,3.86073e-05
119,1294.98,0.26106,0.42572,0.95273,0.78246,0.62306,0.75477,0.55439,1.06937,1.19941,1.37148,2.94415e-05,2.94415e-05,2.94415e-05
120,1306.53,0.28246,0.28784,0.97884,0.81531,0.61978,0.75597,0.55496,1.07061,1.20125,1.37685,2.02757e-05,2.02757e-05,2.02757e-05
